Word,Type,Meaning,Page
haut,(n.m.),"上半身、上衣","64, 174"
"haut, e",(adj.),高的,64
herbe,(n.f.),草,166
"heureux, se",(adj.),幸福的,24
hi-fi,(n.f.),高保真音响,132
histoire,(n.f.),"故事、历史",34
historique,(adj.),历史的,188
hiver,(n.m.),冬天,108
homme,(n.m.),"男人、男士",8
"homosexuel, le",(adj.),同性恋的,20
honnête,(adj.),"诚实的、正直的",30
hôpital,(n.m.),医院,"52, 124"
horodateur,(n.m.),自动计时打印机,178
horrible,(adj.),"可怕的、讨厌的",28
hôtesse de l'air,(n.f.),空中小姐,124
huile,(n.f.),食油,90
huître,(n.f.),"牡蛎、生蚝",88
humour,(n.m.),幽默,28
hypocrite,(adj.),虚伪的,30
île,(n.f.),岛屿,152
il est...,,现在...点钟,110
