Word,Type,Meaning,Page
coffre,(n.m.),车厢,216
cognac,(n.m.),白兰地酒,176
"coiffé, e",(adj.),做过头发的,88
coiffer (se),(v.pron.),"梳头、装饰头发",116
"coiffeur, se",(n.),理发师,133
coin,(n.m.),"角落、隅；居住的地区","104, 190"
col,(n.m.),"领口、衣领；山口","56, 92"
collant,(n.m.),"连裤袜、紧身衣、紧身裤",94
colle,(n.f.),胶水,178
collège,(n.m.),初中,122
"collégien, ne",(n.m.),"初中生、男初中生、女初中生",122
collier,(n.m.),"项链、颈饰",96
colline,(n.f.),"山、山岗",56
colombe,(n.f.),和平鸽,70
colonie,(n.f.),"(儿时的)夏令营、复活节营地",224
colonne,(n.f.),"柱、支柱",74
combat,(n.m.),"战斗、格斗",206
combinaison,(n.f.),"连衫裤、组合",94
combiné,(n.m.),"电话、电话机",142
commerce,(n.m.),"商业、贸易",176
"commercial, e",(n.),"商业推销员、商务代表",132
commode,(n.f.),"五斗橱、(带抽屉的)衣柜",104
communication,(n.f.),"交通、通讯",150
"compact, e",(adj.),"紧密的、精巧的",144
compagne,(n.f.),女伴,25
compagnon,(n.m.),"伙伴、同伴",25
"compétent, e",(adj.),"有能力的、能胜任的",137
compétition,(n.f.),"比赛、竞赛",202
"complet, ète",(adj.),"完整的、客满的",214
complètement,(adv.),"完全地、彻底地",80
complimenter,(v.t.),"称赞、赞扬、恭维",194
"compliqué, e",(adj.),错综复杂的,192
comporter,(v.t.),包含,190
composer,(v.t.),"撰写、组合；结合、组成","52, 142"
comprendre,(v.t.),"理解、懂得",4
comptabilité,(n.f.),会计学,132
comptable,(n.),"会计、会计师",132
compter,(v.t.),"数、计算",126
concentré,(n.m.),"浓缩物、提炼物",180
concierge,(n.m.),"门房、看门人、守门人",102
concombre,(n.m.),黄瓜,194
concours,(n.m.),"考试、竞赛",137
concubinage,(n.m.),同居,24
condoléances,(n.f. pl.),"哀悼、哀悼信",6
"conducteur, trice",(n.),驾驶员,216
conduire,(v.i.),驾驶,216
confiture,(n.f.),果酱,180
conflit,(n.m.),冲突,26
confortable,(adj.),"舒适的、安逸的",98
congé,(n.m.),"假期、休假",226
congélateur,(n.m.),冷冻柜,104
congrès,(n.f.),(政党或联盟的)会议,148
"conjoint, e",(n.),爱人,25
connaissance,(n.f.),"知识；相识","2, 24"
connecter (se),(v.pron.),连接,140
consacrer,(v.t.),"把...用于、把...献于",200
console,(n.m.),控制器,144
consommateur,(n.m.),消费者,192
consommation,(n.f.),消费,180
consonne,(n.f.),辅音,10
consulter,(v.t.),"查阅、咨询",140
contact,(n.m.),接触,216
"content, e",(adj.),"高兴的、快乐的","6, 7"
contexte,(n.m.),"上下文；情况、环境","2, 154"
continent,(n.m.),"大陆、大洲",52
"continu, e",(adj.),连续的,36
"contracté, e",(adj.),紧张的,99
contraire,(n.m.),"相反、反面",54
contrat,(n.m.),合同,108
contravention,(n.f.),违章,218
contre,(prép.),"接、靠",104
contrôle,(n.m.),"(学生的)测验；检查",128
contrôleur,(n.m.),"检察员、检票人",212
